meet_name,facility_name,meet_start_date,meet_end_date,mm_athlete_id,usas_id,first_name,last_name,gender,team,event_no,stroke,distance,seed_time,round,time,course,heat,lane,heat_place,overall_place,backup_time_1,backup_time_2,reaction_time
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,65,F25453646D2A4D,Jonathan,Boyd,M,UKY,26,Back,100,50.79,P,49.31,Y,2,1,6,20,49.38,49.38,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,65,F25453646D2A4D,Jonathan,Boyd,M,UKY,32,Back,200,113.23,F,109.95,Y,1,1,8,16,110.15,110.24,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,65,F25453646D2A4D,Jonathan,Boyd,M,UKY,32,Back,200,113.23,P,107.91,Y,2,7,7,16,107.96,107.93,0.61
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,8,Medley,200,121.58,F,110.30,Y,1,8,7,23,110.32,110.35,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,8,Medley,200,121.58,P,110.47,Y,1,6,2,24,110.63,110.32,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,24,Breast,100,58.53,F,54.57,Y,1,4,1,9,54.86,54.76,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,24,Breast,100,58.53,P,55.39,Y,2,1,5,9,55.49,55.56,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,36,Breast,200,128.55,F,119.48,Y,2,2,6,8,119.57,119.53,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,66,DB4E440EA2B0CB,Murilo,Braga Amatuzzi,M,UKY,36,Breast,200,128.55,P,119.00,Y,2,7,4,7,118.94,119.05,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,67,87590E5A590542,John,Broome,M,UKY,24,Breast,100,56.97,F,55.07,Y,1,5,2,10,55.23,55.29,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,67,87590E5A590542,John,Broome,M,UKY,24,Breast,100,56.97,P,55.44,Y,2,2,6,10,55.64,55.53,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,67,87590E5A590542,John,Broome,M,UKY,36,Breast,200,125.86,F,126.40,Y,1,7,5,13,126.55,126.46,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,67,87590E5A590542,John,Broome,M,UKY,36,Breast,200,125.86,P,126.34,Y,2,2,7,14,126.56,126.32,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,68,AA524D11A74AEA,Michael,Buchart,M,UKY,12,3m,6,234.90,F,272.85,Y,1,3,11,11,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,68,AA524D11A74AEA,Michael,Buchart,M,UKY,12,3m,6,234.90,P,258.65,Y,1,2,10,10,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,68,AA524D11A74AEA,Michael,Buchart,M,UKY,28,1m,6,267.00,F,243.95,Y,1,7,10,10,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,68,AA524D11A74AEA,Michael,Buchart,M,UKY,28,1m,6,267.00,P,277.70,Y,1,6,6,6,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,68,AA524D11A74AEA,Michael,Buchart,M,UKY,40,10m,6,0.00,F,260.95,Y,1,6,4,4,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,7,Medley,200,128.00,F,119.52,Y,3,2,5,7,119.71,119.80,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,7,Medley,200,128.00,P,120.09,Y,1,4,1,11,120.21,120.18,0.73
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,25,Back,100,56.21,F,53.83,Y,2,2,6,8,53.94,53.96,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,25,Back,100,56.21,P,54.07,Y,2,7,3,9,54.18,53.98,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,31,Back,200,123.60,F,116.56,Y,3,7,6,8,116.68,116.44,0.66
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,69,43144C78888847,Victoria,Buerger,F,UKY,31,Back,200,123.60,P,116.69,Y,4,8,4,11,116.79,117.02,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,6,Free,500,282.21,F,272.44,Y,1,7,6,22,272.56,272.57,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,6,Free,500,282.21,P,274.78,Y,2,1,7,22,275.00,274.94,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,18,Fly,100,53.23,F,50.70,Y,1,7,5,21,51.97,50.93,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,18,Fly,100,53.23,P,50.76,Y,1,3,3,24,50.98,50.90,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,32,Back,200,115.06,P,111.13,Y,3,1,5,18,111.29,111.53,0.85
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,70,8E28B29DCFE34B,Nathan,Castano,M,UKY,38,Fly,200,114.06,P,112.08,Y,1,7,6,18,112.20,112.23,0.75
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,71,4CFA420290F06C,Jodi,Cobb,F,UKY,11,1m,6,257.03,F,240.25,Y,1,3,10,10,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,71,4CFA420290F06C,Jodi,Cobb,F,UKY,11,1m,6,257.03,P,224.65,Y,1,3,10,10,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,71,4CFA420290F06C,Jodi,Cobb,F,UKY,27,3m,6,250.35,F,250.70,Y,1,5,7,7,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,71,4CFA420290F06C,Jodi,Cobb,F,UKY,27,3m,6,250.35,P,227.75,Y,1,3,8,8,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,71,4CFA420290F06C,Jodi,Cobb,F,UKY,39,10m,6,0.00,F,184.05,Y,1,3,8,8,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,72,B8B6B8239FF54A,Kaelan,Daly,F,UKY,9,Free,50,23.92,F,23.13,Y,3,2,5,7,23.36,23.30,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,72,B8B6B8239FF54A,Kaelan,Daly,F,UKY,9,Free,50,23.92,P,23.27,Y,2,7,4,12,23.51,23.44,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,72,B8B6B8239FF54A,Kaelan,Daly,F,UKY,17,Fly,100,58.69,P,56.51,Y,1,1,7,19,56.61,56.61,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,72,B8B6B8239FF54A,Kaelan,Daly,F,UKY,33,Free,100,53.08,P,51.26,Y,3,1,6,18,51.40,51.42,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,7,Medley,200,129.59,F,122.35,Y,1,5,4,20,122.39,122.48,0.77
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,7,Medley,200,129.59,P,121.93,Y,1,6,2,19,121.92,121.94,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,19,Medley,400,273.68,F,259.56,Y,2,6,6,8,259.59,259.54,0.61
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,19,Medley,400,273.68,P,255.99,Y,3,2,3,6,256.22,256.12,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,31,Back,200,122.99,F,117.09,Y,2,3,5,13,117.29,117.10,0.55
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,73,111100FER*DEGO,Fernanda,De Goeij,F,UKY,31,Back,200,122.99,P,117.45,Y,3,1,5,12,117.52,117.54,0.55
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,74,C126A17AFFF24A,Abigail,Devereaux,F,UKY,11,1m,6,264.75,F,267.30,Y,1,0,4,4,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,74,C126A17AFFF24A,Abigail,Devereaux,F,UKY,11,1m,6,264.75,P,260.60,Y,1,8,3,3,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,74,C126A17AFFF24A,Abigail,Devereaux,F,UKY,27,3m,6,276.53,F,187.50,Y,1,6,11,11,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,74,C126A17AFFF24A,Abigail,Devereaux,F,UKY,27,3m,6,276.53,P,233.00,Y,1,3,7,7,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,75,3D83ED49A7DC45,Sam,Duncan,M,UKY,12,3m,6,331.73,F,322.85,Y,1,1,4,4,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,75,3D83ED49A7DC45,Sam,Duncan,M,UKY,12,3m,6,331.73,P,320.85,Y,1,6,2,2,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,75,3D83ED49A7DC45,Sam,Duncan,M,UKY,28,1m,6,319.88,F,348.70,Y,1,2,2,2,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,75,3D83ED49A7DC45,Sam,Duncan,M,UKY,28,1m,6,319.88,P,348.40,Y,1,0,1,1,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,75,3D83ED49A7DC45,Sam,Duncan,M,UKY,40,10m,6,0.00,F,223.65,Y,1,2,7,8,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,76,389B14CC144E46,Bridget,Engel,F,UKY,19,Medley,400,275.23,P,262.50,Y,2,2,4,14,262.54,262.56,0.64
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,76,389B14CC144E46,Bridget,Engel,F,UKY,23,Breast,100,62.13,F,59.83,Y,2,6,4,6,60.02,59.94,0.64
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,76,389B14CC144E46,Bridget,Engel,F,UKY,23,Breast,100,62.13,P,60.12,Y,1,6,2,6,60.18,0.00,0.66
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,76,389B14CC144E46,Bridget,Engel,F,UKY,35,Breast,200,137.40,F,130.11,Y,2,6,2,4,130.36,130.25,0.64
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,76,389B14CC144E46,Bridget,Engel,F,UKY,35,Breast,200,137.40,P,131.96,Y,3,2,3,6,132.26,132.02,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,8,Medley,200,115.35,P,113.31,Y,3,8,8,27,113.31,113.32,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,18,Fly,100,51.50,F,49.03,Y,2,7,6,14,49.09,49.01,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,18,Fly,100,51.50,P,48.48,Y,3,8,6,16,48.60,48.47,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,26,Back,100,50.68,P,49.46,Y,3,1,7,21,49.49,49.43,0.61
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,32,Back,200,112.34,P,0.00,Y,3,7,0,0,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,38,Fly,200,113.73,F,111.79,Y,1,8,8,16,112.38,112.04,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,77,F5554E2371BE44,Joshua,Fisher,M,UKY,38,Fly,200,113.73,P,111.25,Y,3,7,6,17,111.30,111.30,0.64
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,78,C572958341CF4C,Ally,Frame,F,UKY,17,Fly,100,60.28,P,58.14,Y,3,8,8,22,58.25,58.18,0.73
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,78,C572958341CF4C,Ally,Frame,F,UKY,25,Back,100,56.38,F,54.56,Y,1,2,5,13,54.72,54.62,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,78,C572958341CF4C,Ally,Frame,F,UKY,25,Back,100,56.38,P,55.24,Y,1,7,5,14,55.28,55.34,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,78,C572958341CF4C,Ally,Frame,F,UKY,31,Back,200,123.48,F,118.61,Y,1,4,2,18,118.61,118.75,0.67
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,78,C572958341CF4C,Ally,Frame,F,UKY,31,Back,200,123.48,P,120.98,Y,2,1,6,18,121.16,121.12,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,79,2A6BEB0760C64C,Avery,Frece,F,UKY,9,Free,50,23.90,F,23.47,Y,2,8,7,15,23.59,23.59,0.75
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,79,2A6BEB0760C64C,Avery,Frece,F,UKY,9,Free,50,23.90,P,23.76,Y,3,7,6,17,23.82,23.88,0.78
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,79,2A6BEB0760C64C,Avery,Frece,F,UKY,17,Fly,100,58.43,P,56.98,Y,2,1,6,20,57.23,57.10,0.73
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,79,2A6BEB0760C64C,Avery,Frece,F,UKY,33,Free,100,51.97,F,51.35,Y,1,7,8,16,51.44,51.28,0.76
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,79,2A6BEB0760C64C,Avery,Frece,F,UKY,33,Free,100,51.97,P,51.04,Y,3,7,5,15,51.22,51.07,0.75
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,9,Free,50,23.97,F,23.39,Y,3,7,6,8,23.49,23.56,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,9,Free,50,23.97,P,23.33,Y,1,7,4,14,23.46,23.51,0.71
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,23,Breast,100,63.23,F,63.70,Y,1,2,5,13,63.87,63.89,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,23,Breast,100,63.23,P,63.75,Y,1,2,6,15,63.97,63.82,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,35,Breast,200,140.20,F,136.53,Y,1,1,5,13,136.80,136.71,0.71
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,80,F72FD42FF2184E,McCall,Freiburger,F,UKY,35,Breast,200,140.20,P,140.55,Y,1,2,5,16,140.69,140.59,0.71
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,81,FDCE91AE001340,Grace,Frericks,F,UKY,5,Free,500,307.18,P,292.38,Y,3,1,6,18,292.36,292.52,0.74
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,81,FDCE91AE001340,Grace,Frericks,F,UKY,25,Back,100,56.01,F,53.47,Y,2,6,5,7,53.56,53.56,0.61
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,81,FDCE91AE001340,Grace,Frericks,F,UKY,25,Back,100,56.01,P,53.65,Y,1,2,2,6,53.66,53.62,0.66
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,81,FDCE91AE001340,Grace,Frericks,F,UKY,31,Back,200,119.78,F,114.26,Y,3,5,3,5,114.31,114.44,0.64
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,81,FDCE91AE001340,Grace,Frericks,F,UKY,31,Back,200,119.78,P,114.45,Y,3,2,2,4,114.60,114.50,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,82,88FE8831D14548,Joshua,Fujimoto,M,UKY,6,Free,500,289.00,F,266.50,Y,2,8,5,13,266.64,266.57,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,82,88FE8831D14548,Joshua,Fujimoto,M,UKY,6,Free,500,289.00,P,270.84,Y,3,8,7,16,271.01,270.99,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,82,88FE8831D14548,Joshua,Fujimoto,M,UKY,22,Free,200,104.23,P,101.33,Y,1,3,3,21,101.45,101.37,0.67
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,82,88FE8831D14548,Joshua,Fujimoto,M,UKY,30,Free,1650,573.50,F,944.04,Y,2,7,6,7,944.15,944.10,0.76
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,83,655E055D3D7C46,Alexander,Gallagher,M,UKY,8,Medley,200,119.12,P,113.88,Y,1,4,4,28,114.09,114.08,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,83,655E055D3D7C46,Alexander,Gallagher,M,UKY,24,Breast,100,58.16,F,55.59,Y,1,3,5,13,55.59,55.55,0.61
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,83,655E055D3D7C46,Alexander,Gallagher,M,UKY,24,Breast,100,58.16,P,55.92,Y,2,7,7,11,55.97,55.97,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,83,655E055D3D7C46,Alexander,Gallagher,M,UKY,36,Breast,200,129.28,F,119.68,Y,1,5,3,11,119.76,119.79,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,83,655E055D3D7C46,Alexander,Gallagher,M,UKY,36,Breast,200,129.28,P,121.91,Y,1,7,5,10,122.01,122.00,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,84,4786000F3F574A,Aaron,Gasiewicz,M,UKY,8,Medley,200,112.85,F,108.78,Y,2,1,8,16,108.90,108.91,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,84,4786000F3F574A,Aaron,Gasiewicz,M,UKY,8,Medley,200,112.85,P,108.13,Y,3,1,5,15,108.32,108.28,0.65
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,84,4786000F3F574A,Aaron,Gasiewicz,M,UKY,18,Fly,100,52.23,F,47.81,Y,2,3,4,12,48.18,47.86,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,84,4786000F3F574A,Aaron,Gasiewicz,M,UKY,18,Fly,100,52.23,P,48.13,Y,1,4,1,13,48.44,48.14,
